mean_fit_time;param_max_depth;param_min_samples_split;param_min_samples_leaf;param_criterion;mean_test_score
0.0255995750427;1;16;3;entropy;0.169956140351
0.0286875247955;1;2;4;entropy;0.169956140351
0.0264290809631;1;3;4;entropy;0.169956140351
0.026978969574;1;4;4;entropy;0.169956140351
0.0289601802826;1;5;4;entropy;0.169956140351
0.0244156837463;1;6;4;entropy;0.169956140351
0.0333548545837;1;7;4;entropy;0.169956140351
0.0271834373474;1;8;4;entropy;0.169956140351
0.0315212249756;1;9;4;entropy;0.169956140351
0.0296107292175;1;10;4;entropy;0.169956140351
0.0315247535706;1;11;4;entropy;0.169956140351
0.0334027290344;1;12;4;entropy;0.169956140351
0.0282720565796;1;13;4;entropy;0.169956140351
0.0401661872864;1;14;4;entropy;0.169956140351
0.0322312831879;1;15;4;entropy;0.169956140351
0.0481198787689;1;16;4;entropy;0.169956140351
0.0324020385742;1;2;5;entropy;0.169956140351
0.0455362796783;1;3;5;entropy;0.169956140351
0.0364293575287;1;4;5;entropy;0.169956140351
0.0497364521027;1;5;5;entropy;0.169956140351
0.0322951316833;1;6;5;entropy;0.169956140351
0.073919916153;1;7;5;entropy;0.169956140351
0.0554552078247;1;8;5;entropy;0.169956140351
0.0613335132599;1;9;5;entropy;0.169956140351
0.0481664180756;1;10;5;entropy;0.169956140351
0.0569717407227;1;11;5;entropy;0.169956140351
0.0410201072693;1;12;5;entropy;0.169956140351
0.0466760158539;1;13;5;entropy;0.169956140351
0.0403951644897;1;14;5;entropy;0.169956140351
0.0287302970886;1;15;5;entropy;0.169956140351
0.0236777305603;1;16;5;entropy;0.169956140351
0.0269287109375;1;2;6;entropy;0.169956140351
0.0235531330109;1;3;6;entropy;0.169956140351
0.0248487472534;1;4;6;entropy;0.169956140351
0.0231528759003;1;5;6;entropy;0.169956140351
0.0239437580109;1;6;6;entropy;0.169956140351
0.0240837574005;1;7;6;entropy;0.169956140351
0.0251800537109;1;8;6;entropy;0.169956140351
0.0255701541901;1;9;6;entropy;0.169956140351
0.0264801979065;1;10;6;entropy;0.169956140351
0.0224581718445;1;11;6;entropy;0.169956140351
0.0248626232147;1;12;6;entropy;0.169956140351
0.0246785163879;1;13;6;entropy;0.169956140351
0.0244717121124;1;14;6;entropy;0.169956140351
0.02278175354;1;15;6;entropy;0.169956140351
0.0283757686615;1;16;6;entropy;0.169956140351
0.024816942215;1;2;7;entropy;0.169956140351
0.0246365070343;1;3;7;entropy;0.169956140351
0.024360370636;1;4;7;entropy;0.169956140351
0.0241107463837;1;5;7;entropy;0.169956140351
0.0235524177551;1;6;7;entropy;0.169956140351
0.0245124340057;1;7;7;entropy;0.169956140351
0.0237240314484;1;8;7;entropy;0.169956140351
0.0296940803528;1;9;7;entropy;0.169956140351
0.0231335639954;1;10;7;entropy;0.169956140351
0.0240462303162;1;11;7;entropy;0.169956140351
0.0233710289001;1;12;7;entropy;0.169956140351
0.0234310150146;1;13;7;entropy;0.169956140351
0.0226981163025;1;14;7;entropy;0.169956140351
0.0260388851166;1;15;7;entropy;0.169956140351
0.0227803707123;1;16;7;entropy;0.169956140351
0.0248603820801;1;2;8;entropy;0.169956140351
0.022802734375;1;3;8;entropy;0.169956140351
0.0227048397064;1;4;8;entropy;0.169956140351
0.0234439373016;1;5;8;entropy;0.169956140351
0.0226629257202;1;6;8;entropy;0.169956140351
0.0245872974396;1;7;8;entropy;0.169956140351
0.0251091957092;1;8;8;entropy;0.169956140351
0.0227504730225;1;9;8;entropy;0.169956140351
